matchNumber,alliance,teamNumber
24,redAlliance,714
24,redAlliance,9015
24,blueAlliance,2590
24,blueAlliance,8513
24,blueAlliance,5684
25,redAlliance,321
25,redAlliance,5181
25,redAlliance,5992
25,blueAlliance,1257
25,blueAlliance,1923
25,blueAlliance,555
26,redAlliance,3314
26,redAlliance,1640
26,redAlliance,2191
26,blueAlliance,9027
26,blueAlliance,1676
26,blueAlliance,103
27,redAlliance,5438
27,redAlliance,103
27,redAlliance,341
27,blueAlliance,427
27,blueAlliance,1391
27,blueAlliance,7414
28,redAlliance,9094
28,redAlliance,272
28,redAlliance,293
28,blueAlliance,2607
28,blueAlliance,5401
28,blueAlliance,7110
29,redAlliance,1279
29,redAlliance,219
29,redAlliance,2539
29,blueAlliance,9015
29,blueAlliance,1391
29,blueAlliance,1257
30,redAlliance,4285
30,redAlliance,11
30,redAlliance,1403
30,blueAlliance,2720
30,blueAlliance,8513
30,blueAlliance,427
31,redAlliance,3637
31,redAlliance,1218
31,redAlliance,56
31,blueAlliance,5181
31,blueAlliance,102
31,blueAlliance,4361
32,redAlliance,7414
32,redAlliance,2590
32,redAlliance,5438
32,blueAlliance,484
32,blueAlliance,1811
32,blueAlliance,4342
33,redAlliance,1168
33,redAlliance,2495
33,redAlliance,714
33,blueAlliance,5895
33,blueAlliance,321
33,blueAlliance,1089
34,redAlliance,555
34,redAlliance,5684
34,redAlliance,2722
34,blueAlliance,6921
34,blueAlliance,75
34,blueAlliance,316
35,redAlliance,341
35,redAlliance,2191
35,redAlliance,8513
35,blueAlliance,272
35,blueAlliance,3314
35,blueAlliance,7045
36,redAlliance,5992
36,redAlliance,222
36,redAlliance,6226
36,blueAlliance,341
36,blueAlliance,223
36,blueAlliance,365
37,redAlliance,219
37,redAlliance,1923
37,redAlliance,2191
37,blueAlliance,2539
37,blueAlliance,1640
37,blueAlliance,9094
38,redAlliance,103
38,redAlliance,7110
38,redAlliance,9015
38,blueAlliance,2607
38,blueAlliance,1807
38,blueAlliance,11
39,redAlliance,3314
39,redAlliance,1218
39,redAlliance,2720
39,blueAlliance,7045
39,blueAlliance,56
39,blueAlliance,1279
40,redAlliance,1676
40,redAlliance,1257
40,redAlliance,8513
40,blueAlliance,7414
40,blueAlliance,834
40,blueAlliance,1811
41,redAlliance,5181
41,redAlliance,4285
41,redAlliance,1168
41,blueAlliance,484
41,blueAlliance,3637
41,blueAlliance,5438
42,redAlliance,2722
42,redAlliance,2590
42,redAlliance,321
42,blueAlliance,4361
42,blueAlliance,9027
42,blueAlliance,293
43,redAlliance,3142
43,redAlliance,365
43,redAlliance,5401
43,blueAlliance,4342
43,blueAlliance,714
43,blueAlliance,6921
44,redAlliance,6226
