matchNumber,teamNumber,initials,autoSpeakerMade,autoSpeakerMissed,autoAmpMade,autoAmpMissed,teleopAmpMade,teleopAmpMissed,teleopSpeakerMade,teleopSpeakerMissed,notesFed,trapMade,trapMissed,climbed,buddyClimb,brokeDown,comments
23,1218,AV,1,0,0,0,1,0,1,0,0,0,0,1,0,0,Inconsistent shot and spent a good thirty seconds trying to get a ring unstuck from their bot.
23,1279,AO,1,0,0,0,0,0,6,0,0,0,0,1,1,0,
23,2720, CJ,3,0,0,0,0,0,6,0,0,0,0,1,0,0,
24,1257,AV,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Got a ring stuck in their bot and played some pretty good defense until they deadbotted
24,834,TB,1,0,0,0,0,0,4,0,0,0,0,1,0,0,
24,8513,CJ,2,0,0,0,3,0,2,0,0,1,0,1,0,0,
24,1676,SJ,2,0,0,0,2,0,4,0,0,0,0,1,0,0,
24,7414,Sb,4,0,0,0,2,0,1,0,0,0,0,0,0,1,Stoped moving very well after hitting 1676 and had to park early
24,1811,AO,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
25,3637,TB,2,0,0,0,3,0,5,0,0,0,0,0,0,0,
25,4285,VC,1,0,0,0,0,0,5,0,0,0,0,0,0,0,Lost count of speaker notes
25,5181,MI,1,0,0,0,0,0,10,0,0,0,0,0,0,0,
25,5438,AO,3,0,0,0,2,0,3,0,0,0,0,0,0,0,
25,484,Sb,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Intake took some notes in oddly and had to spit them out
May have missed a note or two"
26,2590,ME,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
26,293,AO,3,0,0,0,2,0,4,0,1,0,0,0,0,0,
26,2722,MI,1,0,0,0,5,0,1,0,0,0,0,1,0,0,
26,4361,Sb,1,0,0,0,3,0,2,0,0,0,0,1,0,0,Took a while to intake at one point
26,321,VC,3,0,0,0,0,0,2,0,1,0,0,1,0,0,
26,9027,TB,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
27,6921,AO,0,0,0,0,1,0,6,0,0,0,0,0,0,0,
27,714,LB,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Just lobbed the whole time
27,5401,VC,4,0,0,0,0,0,4,0,0,0,0,0,0,1,Had connection issues
27,3142,MI,1,0,0,0,3,0,1,0,1,0,0,0,0,0,
27,365,MR,1,0,0,0,2,0,1,0,1,0,0,0,0,0,
27,4342,RA,3,0,0,0,2,0,1,0,0,0,0,1,0,0,Intake broke and then the bot stated moving very slowly and very weird.
28,102,AO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
28,427,TB,1,0,0,0,0,0,6,0,0,0,0,0,0,0,
28,75,VC,1,0,0,0,0,0,4,0,1,0,0,1,1,0,
28,341,RA,2,0,0,0,6,0,3,0,0,0,0,0,0,0,Did amazing at first but seemed to break something and became unable to score almost did a buddy climb but was to slow.
28,6226,MI,0,0,1,0,3,0,0,0,0,0,0,1,1,0,
28,555,ME,1,0,0,0,0,0,3,0,0,0,0,1,1,0,
29,222,AO,1,0,1,0,0,0,4,0,0,0,0,1,0,0,
29,2495,SG,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"Shooter broken, played defense"
29,5992,MI,2,0,0,0,5,0,2,0,0,0,0,0,0,0,
29,1391,WL,0,0,0,0,0,0,4,0,1,0,0,0,0,0,Did better before the reset
29,1403,SJ,2,0,0,0,2,0,3,0,0,0,0,1,0,1,
29,316,TB,1,0,0,0,3,0,4,0,0,0,0,1,1,0,
30,5684,AO,1,0,0,0,3,0,3,0,0,0,0,0,0,1,may need to redo match
30,223,SG,2,0,0,0,1,0,5,0,0,0,0,0,0,0,
30,1089,WL,0,0,0,0,2,0,4,0,0,0,0,1,0,0,
30,272,MI,1,0,0,0,2,0,4,0,0,1,0,1,0,0,
30,5895,Sb,2,0,0,0,5,0,4,0,1,0,0,1,0,0,"Lobbed one note
May have scored one more in speaker and one less in amp"
30,4573,RA,1,0,0,0,0,0,3,0,1,0,0,0,0,1,They broke down at the very end otherwise they had pretty consistent capabilities.
31,56,RA,1,0,0,0,2,0,3,0,0,0,0,0,0,0,Tried to grab from center line but failed. Struggled to intake off the floor.
31,7110,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Played defense did ok but nothing special
Stoped under opponents stage but got pushed out by 2720"
31,8513,SG,0,0,0,0,3,0,2,0,0,0,0,1,0,0,
31,2720,AO,3,0,0,0,3,0,0,0,1,0,0,0,0,0,
31,1811,WL,1,0,0,0,0,0,4,0,0,0,0,1,0,0,
31,1923,VC,3,0,0,0,4,0,6,0,0,0,0,0,0,0,
32,3314,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,1640,Sb,3,0,0,0,5,0,4,0,1,0,0,1,0,0,Lobbed one note
32,2539,VC,5,0,0,0,0,0,6,0,0,1,0,1,0,0,
32,11,SG,0,0,1,0,3,0,0,0,0,0,0,0,0,0,
32,1279,RA,1,0,0,0,0,0,4,0,0,0,0,0,0,0,Inconsistent speaker scoring. Tried to buddy climb but failed.
32,1807,AO,2,0,0,0,2,0,3,0,1,0,0,0,0,0,
32,484,WL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Played defense because it broke
33,3314,CJ,3,0,0,0,3,0,2,0,0,1,0,1,0,0,
33,293,Sb,4,0,0,0,0,0,7,0,0,0,0,0,0,0,
33,4285,AO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
33,2722,RA,1,0,0,0,3,0,3,0,0,0,0,0,0,0,Missed a shot at the end and slow cycle times.
33,7414,SG,4,0,0,0,2,0,2,0,0,0,0,0,0,1,Hit by another bot
33,9015,VC,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Had connection issues and kept turning off and on
34,2590,CJ,3,0,0,0,2,0,3,0,0,0,0,0,0,1,Disabled after note jammed in intake
34,2607,RA,4,0,0,0,3,0,5,0,0,0,0,1,0,0,started to miss amp shots after the first shot. Can shoot windbreaker from distance. Attempted to buddy climb but the other bot failed. Very quick rotation and reliable distance shooting.
34,9094,AV,1,0,0,0,4,0,2,0,0,0,0,0,0,0,
34,5181,LB,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
34,219,SJ,3,0,0,0,0,0,6,0,0,0,0,0,0,0,
35,222,,2,0,0,0,3,0,2,0,0,0,0,1,0,0,
35,1168,SJ,4,0,0,0,4,0,3,0,0,0,0,0,0,0,
35,5401,Cc,4,0,0,0,0,0,5,0,0,0,0,0,0,1,Disconnected after a small bump
35,714,LB,2,0,0,0,0,0,0,0,1,0,0,1,1,0,
35,341,AV,3,0,0,0,4,0,3,0,0,0,0,1,0,0,
35,1676,RA,2,0,0,0,2,0,4,0,0,1,0,0,0,0,The bot is fast and the driver is good. They have consistent scoring. The shooter is slow to get into position and they lose valuable time setting up for scoring.
35,4361,TB,0,0,0,0,3,0,4,0,0,0,0,1,1,0,Did not see the auto
35,555,CJ,1,0,0,0,0,0,3,0,0,0,0,0,0,1,"2x tech fouls blocking stage, got hit and stopped moving under stage"
36,1257,TB,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Collided with another robot in auto and stopped for half the match
36,2495,SJ,1,0,0,0,4,0,5,0,0,0,0,0,0,0,Insufficient time for climbing
36,7045,AV,1,0,0,0,0,0,3,0,0,0,0,1,0,0,Attempted buddy climb did not have enough time.
36,6921,RA,2,0,0,0,1,0,7,0,0,0,0,0,0,0,Solid shooting but missed an amp shot in the beginning. Good rotation speed.
36,3637,CJ,2,0,0,0,1,0,4,0,1,0,0,1,0,0,"Note jammed at 40 seconds, started playing defense"
36,6226,LB,0,0,1,0,5,0,0,0,0,0,0,0,0,0,
37,5992,SF,1,0,0,0,3,0,2,0,0,0,0,0,0,0,
37,5401,TB,4,0,0,0,0,0,5,0,0,0,0,0,0,0,Spent last 30 seconds dead
37,4573,SM,1,0,0,0,0,0,7,0,0,0,0,0,0,0,"Only missed one shot in speaker , decent at maneuvering around defense"
37,316,VC,4,0,0,0,3,0,4,0,1,0,0,0,0,0,Failed climb and was heavily defended
37,5438,RA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Missed the center line grab but went for it. Played very good defence in the begging. Missed an amp shot. Went for the buddy climb but then other bot took to long.
38,222,TB,0,0,1,0,2,0,4,0,0,0,0,1,0,0,
38,834,RA,1,0,0,0,0,0,3,0,0,0,0,0,0,0,Got stolen from on the centerline during auto. Missed several speaker shots.
38,1403,SM,2,0,0,0,3,0,2,0,0,0,0,1,0,0,"Missed 3 speaker shots, struggled to pick up notes by source for two of the notes they picked up"
38,5895,SF,0,0,0,0,3,0,5,0,0,0,0,1,0,0,
38,103,,3,0,0,0,1,0,4,0,0,0,0,0,0,0,
38,9027,VC,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Played defense and missed all shots in trap and speaker
39,223,VC,3,0,0,0,0,0,4,0,1,0,0,1,0,0,Note got stuck in bot in last 45 seconds
39,5684,SM,1,0,0,0,2,0,5,0,0,0,0,0,0,0,"Attempted to climb didn't make it off ground, attempted to pick note up from center line from teleop but slightly off"
39,427,SF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,
39,1218,RA,3,0,0,0,0,0,4,0,0,0,0,0,0,0,Almost a 4 piece auto. Looked like they might be able too trap but ran out of time. Very slow rotation speed across the field. Tried to defend sort of?
39,3142,TB,1,0,0,0,3,0,2,0,0,0,0,1,0,0,
39,1391,Cc,2,0,0,0,0,0,6,0,1,0,0,1,1,0,
40,1089,TB,1,0,0,0,4,0,2,0,0,0,0,1,0,0,
40,75,Sb,2,0,0,0,0,0,1,0,1,0,0,0,0,0,"Messed up buddy climb
Most likely sorred one more piece
Loved all of tele pretty much"
40,272,SF,0,0,0,0,2,0,1,0,0,1,0,1,0,0,
40,321,SM,1,0,0,0,0,0,3,0,0,0,0,0,0,0,"Played defense in the beginning, attempted climb but didn't make it up in time"
40,103,RA,4,0,0,0,0,0,5,0,1,0,0,0,0,0,Missed center line grab for 5 piece auto. Missed speaker shots and struggled against defenders.
40,4342,VC,4,0,0,0,1,0,0,0,0,0,0,1,0,0,Note got stuck in bot and played defence
41,8513,TB,1,0,0,0,4,0,1,0,0,0,0,0,0,0,
41,1279,RA,1,0,0,0,0,0,2,0,0,0,0,0,0,1,!looks like they can not amp.
41,4285,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lobbed most of early match
Made every shot this match they attempted
1807stoped them from potentially making a last second climb
Seemed to almost tip a bit when contacted"
41,1807,SG,0,0,0,0,1,0,6,0,1,0,0,0,0,0,Drew an endgame penalty
41,365,MI,2,0,0,0,5,0,1,0,0,0,0,0,0,0,
41,219,ME,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,56,MI,1,0,0,0,0,0,4,0,0,0,0,0,0,0,
42,11,RA,0,0,0,0,7,0,0,0,1,0,0,1,0,0,Might be able to get a two piece amp auto with some tuning. Might be able to trap but the climber broke. The broken climber still got the bot off the ground.
42,2607,SG,4,0,0,0,5,0,3,0,0,0,0,0,0,0,Attempted buddy climb but didn't make it off the ground
42,1676,TB,2,0,0,0,0,0,8,0,1,0,0,1,1,0,
42,1811,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,555,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Didn't run auto
Dropped one note off not lobbying
May have scored one note early on I missed
Switched to defense, played some good defense at times"
43,2495,Sb,0,0,0,0,3,0,2,0,0,0,0,1,0,0,"Auto set them up to pick up a note from the c line after auto
shooter went in reverse multiple times when trying to score in speaker spitting out the note"
43,1640,SG,3,0,0,0,5,0,4,0,0,0,0,0,0,0,
43,2590,TB,0,0,0,0,0,0,4,0,1,0,0,1,0,0,
43,293,RA,1,0,0,0,1,0,2,0,0,0,0,0,0,1,Seemed to have trouble controlling before breaking down briefly. Once they came back movement seemed to improve. Missed several speaker shots.
43,341,MI,1,0,0,0,3,0,5,0,0,0,0,0,0,0,
43,2720,ME,1,0,0,0,0,0,5,0,1,0,0,1,0,0,
44,3314,MI,3,0,0,0,3,0,1,0,1,1,0,1,0,0,
44,7110,SG,2,0,0,0,1,0,5,0,0,0,0,0,0,0,"Missed climb, review auto data Match 44 7110"
44,714,ME,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
44,4361,Sb,0,0,0,0,2,0,5,0,0,0,0,0,0,0,"May have scored one piece in auto
Just shot their preload in auto"
44,7414,TB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Had some trouble steering and shooting in teleop
44,4573,RA,1,0,0,0,0,0,4,0,0,0,0,0,0,0,Slow rotation around the field and missed several speaker shots.
45,5992,VC,1,0,0,0,5,0,4,0,0,0,0,0,0,0,Got feed to
45,2539,SJ,2,0,0,0,0,0,4,0,0,0,0,1,0,0,Stuck below blue stage. Failed trap shot due to time limit
45,6921,TB,2,0,0,0,1,0,3,0,0,0,0,0,0,0,
