Auto Shots Made Amp,Auto Shots Made Speaker,Auto Starting Position,Broke Down,Buddy Climb,Climbed,Comments,Event ID,Initials,Initials Fixed,Match Number,Pickup From Center Line,Shots Made Trap,Table Name,Taxi Off Starting Zone,Teleop Shots Made Amp,Teleop Shots Made Speaker,Total Telop Notes,Auto Amp Points,Auto Speaker Points,Lobbing,Match Team Number,Teleop Speaker Points,Total Auto Points,Total Points,Total Teleop Points
0,1,,0,0,0,,2024mrcmp,ME,ME,13,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,0,0,0,5,0,9094,0,7,7,0
0,0,,0,0,0,,2024mrcmp,AO,AO,14,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,5,2,7,0,0,0,1257,4,0,9,9
0,1,,0,0,1,,2024mrcmp,VC,VC,14,1,1,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,3,1,4,0,5,1,2539,2,7,20,13
0,0,,0,0,1,,2024mrcmp,ME,ME,14,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,1,3,4,0,0,1,1279,6,2,12,10
0,1,,0,0,1,,2024mrcmp,DD,DD,14,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,0,3,3,0,5,1,1391,6,5,14,9
0,1,,0,0,1,,2024mrcmp,SF,SF,14,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,8,8,0,5,0,219,16,7,26,19
0,1,,0,0,0,The auto could be a 4 piece with a little tuning. They have potential the shooter is very powerful and can maybe shoot from further away.,2024mrcmp,RA,RA,14,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,2,3,5,0,5,0,9015,6,7,15,8
0,3,,0,0,0,,2024mrcmp,AO,AO,15,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,2,3,5,0,15,0,427,6,15,23,8
1,0,,0,0,0,,2024mrcmp,SF,SF,15,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,3,0,3,2,0,0,11,0,4,7,3
0,1,,0,0,0,,2024mrcmp,DD,DD,15,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,2,4,6,0,5,0,8513,8,5,15,10
0,3,,0,0,1,,2024mrcmp,VC,VC,15,0,2,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,9,9,0,15,0,1403,18,17,48,31
0,2,,0,0,0,They had consistent scoring but they rotated around the field very slow.,2024mrcmp,RA,RA,15,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,3,3,6,0,10,0,2720,6,12,21,9
0,1,,0,0,0,,2024mrcmp,ME,ME,15,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,2,2,0,5,1,4285,4,7,11,4
0,1,,0,0,0,"Tried to climb, failed 3 not auto, slow pickup",2024mrcmp,VC,VC,16,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,8,8,0,5,0,56,16,7,23,16
0,0,,0,0,0,"Made a shot at speaker and missed
Attempted climb",2024mrcmp,Sb,SB,16,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,5,0,5,0,0,0,102,0,0,5,5
0,1,,0,0,1,,2024mrcmp,SF,SF,16,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,5,1,6,0,5,0,1218,2,7,17,10
0,1,,0,1,1,,2024mrcmp,ME,ME,16,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,2,2,0,5,1,3637,4,7,14,7
0,1,,0,0,0,,2024mrcmp,AO,AO,16,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,0,4,4,0,5,0,4361,8,5,13,8
0,1,,0,0,1,Went for center line in auto but missed. Good scoring slow rotation.,2024mrcmp,RA,RA,16,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,6,6,0,5,0,5181,12,7,22,15
0,1,,0,1,0,,2024mrcmp,WL,WL,17,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,2,2,4,0,5,0,2590,4,7,13,6
0,4,,0,0,0,,2024mrcmp,MI,MI,17,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,7,7,0,20,0,7414,14,22,36,14
0,1,,0,0,1,,2024mrcmp,LB,LB,17,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,0,4,4,0,5,0,1811,8,5,16,11
0,3,,0,0,0,,2024mrcmp,AO,AO,17,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,4,2,6,0,15,0,4342,4,15,23,8
0,0,,1,0,0,Did not show,2024mrcmp,VC,VC,17,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,0,0,0,0,0,0,5438,0,0,0,0
